epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,769.838,0.82709,1.59314,0.76464,1.19278,0.78736,0.56723,0.59384,0.37767,0.80297,0.58221,0.60491,0.31349,1.36395,2.7682,1.26623,1.63496,0.0007129,0.0007129,0.0007129
31,798.235,0.79856,1.58661,0.75226,1.17358,0.74285,0.52101,0.58092,0.36803,0.72536,0.5084,0.55507,0.29447,1.34274,2.72415,1.19145,1.57253,0.000703,0.000703,0.000703
32,829.33,0.78472,1.51851,0.71969,1.16235,0.61187,0.56301,0.55267,0.34645,0.57886,0.53782,0.5182,0.27727,1.35344,2.87611,1.27415,1.56844,0.0006931,0.0006931,0.0006931
33,860.627,0.79654,1.55742,0.73166,1.17785,0.67172,0.55024,0.58844,0.37807,0.64262,0.56723,0.5629,0.29779,1.27446,2.76575,1.22702,1.51982,0.0006832,0.0006832,0.0006832
34,890.572,0.77469,1.59303,0.72907,1.16314,0.87746,0.53782,0.62575,0.40728,0.82771,0.56303,0.60475,0.3255,1.29076,2.6983,1.11391,1.5408,0.0006733,0.0006733,0.0006733
35,922.253,0.75957,1.54333,0.69927,1.14677,0.83251,0.58824,0.65642,0.43261,0.80884,0.58824,0.6283,0.33783,1.20971,3.06666,1.04069,1.49621,0.0006634,0.0006634,0.0006634
36,952.736,0.75252,1.50469,0.67735,1.13693,0.84498,0.54966,0.63418,0.41494,0.87155,0.55882,0.63174,0.31638,1.26107,2.79242,1.07941,1.4994,0.0006535,0.0006535,0.0006535
37,984.023,0.75492,1.58311,0.70354,1.15227,0.80424,0.46607,0.56934,0.33576,0.79699,0.46187,0.55941,0.29681,1.45243,2.96454,1.31852,1.63397,0.0006436,0.0006436,0.0006436
38,1014.96,0.75381,1.54711,0.71212,1.13871,0.80601,0.57612,0.6501,0.38381,0.82125,0.57914,0.64159,0.32973,1.31972,2.55608,1.08834,1.55763,0.0006337,0.0006337,0.0006337
39,1034.67,0.77313,1.56431,0.71083,1.14868,0.80233,0.57143,0.62115,0.37481,0.78952,0.56303,0.59603,0.31156,1.35167,2.82851,1.08165,1.58854,0.0006238,0.0006238,0.0006238
40,1054.11,0.74064,1.51704,0.66876,1.13441,0.73957,0.53694,0.58503,0.34259,0.71991,0.5084,0.5524,0.28794,1.41401,2.74691,1.22828,1.62253,0.0006139,0.0006139,0.0006139
